plot,BACS,YEAR,Shrub,area_large_pines,area_small_pines,herb_gc_perc,pine_species,years_since_burn,Burn_Season,Stand_age,hardwood_cov_perc
CR1_4_2009,0,2009,17.5,145.6175,0,83.5,LL,4,NGS,79,0
CR1_4_2010,5,2010,17.5,145.6175,0,83.5,LL,5,NGS,79,0
CR2_4_2009,4,2009,33.75,495.335,184.8675,65,LL,2,NGS,70,0
CR2_4_2010,5,2010,61.875,362.2775,189.5775,23,LL,1,GS,71,0
CT1_4_2009,4,2009,22.75,44.3525,297.1225,59.375,LL,2,GS,78,0
CT1_4_2010,0,2010,22.75,44.3525,297.1225,59.375,LL,3,GS,78,0
CT2_4_2009,6,2009,35.875,215.09,212.735,55.375,LL,1,GS,82,0
CT2_4_2010,10,2010,35.875,215.09,212.735,55.375,LL,2,GS,82,0
CT3_4_2009,8,2009,14.625,408.2,53.38,78.75,LL,4,NGS,73,0
CT3_4_2010,8,2010,14.625,408.2,53.38,78.75,LL,5,NGS,73,0
CT4_4_2009,8,2009,17.5,417.62,41.9975,72.5,LL,1,GS,78,0
CT4_4_2010,9,2010,17.5,417.62,41.9975,72.5,LL,2,GS,78,0
CVS13_4_2009,2,2009,11.5,555.3875,354.035,80.875,LL,1,NGS,78,0
CVS13_4_2010,5,2010,11.5,555.3875,354.035,80.875,LL,2,NGS,78,0
CVS35_4_2009,3,2009,36.875,278.675,65.155,40.125,PD,0,NGS,74,0
CVS35_4_2010,5,2010,39.375,291.235,80.07,43.375,BL,1,NGS,75,0
CVS40_4_2009,0,2009,60,189.97,219.8,36.5,PD,4,NGS,72,6.25
CVS40_4_2010,3,2010,60,189.97,219.8,36.5,PD,5,NGS,72,6.25
CVS41_4_2009,0,2009,38.75,56.9125,61.23,76,LL,6,NGS,66,0
CVS41_4_2010,2,2010,38.75,56.9125,61.23,76,LL,7,NGS,66,0
CVS7_4_2009,10,2009,17.5,563.2375,9.8125,76.375,LL,2,NGS,69,0
CVS7_4_2010,2,2010,33.75,691.1925,30.2225,84.375,LL,0,NGS,70,0
CVS8_4_2009,7,2009,31.25,910.6,0,56.5,LL,2,NGS,65,0
CVS8_4_2010,15,2010,38.75,590.7125,16.0925,73.75,LL,3,NGS,66,0
DC1_4_2009,4,2009,6,487.8775,145.6175,19.5,LL,0,GS,74,4.166666667
DC1_4_2010,14,2010,24,487.8775,109.9,75,LL,1,GS,75,9.375
DC2_4_2009,2,2009,10,88.705,48.2775,54.375,LL,0,GS,69,5
DC2_4_2010,2,2010,10,88.705,48.2775,54.375,LL,1,GS,69,5
EXP0_4_2009,0,2009,55.625,980.8575,0,52.5,BL,3,NGS,50,19.58333333
EXP0_4_2010,0,2010,56.25,1386.7025,16.0925,44.375,LL,4,NGS,51,9.375
EXP1_4_2009,0,2009,73.75,652.335,16.0925,15,BL,3,NGS,50,36.66666667
