"","DATE","JULIAN_DAY","WATERSHED","STREAM","SPEC","SEX","CL","MASS","worms"
"MAGN_1_1A","6/8/2013",159,"new","bigstoney","scio","M1",31.5,9.22,108
"MAGN_1_1B","6/8/2013",159,"new","bigstoney","scio","F",33,10.92,213
"MAGN_1_1C","6/8/2013",159,"new","bigstoney","scio","M2",34.5,15.65,208
"MAGN_1_2A","6/8/2013",159,"new","lilstoney","scio","M2",33.5,10.69,194
"MAGN_1_2B","6/8/2013",159,"new","sink","scio","F",36,17.04,203
"MAGN_1_2C","6/8/2013",159,"new","toms","scio","F",34,13.69,125
"MAGN_1_3A","6/8/2013",159,"new","bigstoney","scio","F",34.5,11.78,182
"MAGN_1_3B","6/8/2013",159,"new","bigstoney","scio","F",32.5,10.05,186
"MAGN_1_3C","6/8/2013",159,"new","spruce","scio","M2",26,6.48,95
"MAGN_1_4A","6/8/2013",159,"new","spruce","scio","M2",36.5,15.49,236
"MAGN_1_4B","6/8/2013",159,"new","bigstoney","scio","M2",36.5,16.78,287
"MAGN_1_4C","6/8/2013",159,"new","sink","scio","M2",25,5.32,44
"MAGN_2_1","6/15/2013",166,"new","sink","scio","F",33.19,13.21,207
"MAGN_2_11","6/15/2013",166,"new","sink","scio","M2",34.13,18.21,147
"MAGN_2_12","6/15/2013",166,"new","poverty","scio","M2",34.67,18.36,93
"MAGN_2_13","6/15/2013",166,"new","sink","scio","F",33.36,14.15,160
"MAGN_2_15","6/15/2013",166,"new","bigstoney","scio","M2",34.6,15.77,253
"MAGN_2_2","6/15/2013",166,"new","bigstoney","scio","F",38.08,21.7,92
"MAGN_2_4","6/15/2013",166,"new","poverty","scio","F",39.3,24.61,65
"MAGN_2_5","6/15/2013",166,"new","sink","scio","F",36.71,18.72,438
"MAGN_2_6","6/15/2013",166,"new","sink","scio","M2",40.13,25.8,230
"MAGN_2_7","6/15/2013",166,"new","toms","scio","M2",34.48,16.15,210
"MAGN_2_8","6/15/2013",166,"new","bigstoney","scio","F",34.17,15.31,130
"MAGN_2_9","6/15/2013",166,"new","sink","scio","F",36.44,17.91,101
"MAGN_3_1","7/18/2013",199,"new","poverty","scio","M2",35.91,15.42,283
"MAGN_3_2","6/18/2013",169,"new","spruce","scio","M2",34.01,12.82,254
"MAGN_3_3","6/18/2013",169,"new","bigstoney","scio","M2",34.97,15.23,237
"MAGN_3_4","6/18/2013",169,"new","lilstoney","scio","F",34,14.32,197
"MAGN_3_5","6/18/2013",169,"new","spruce","scio","F",29.38,9.7,119
"MAGN_3_6","6/18/2013",169,"new","sink","scio","F",34.56,12.92,207
"MAGN_4_1","6/22/2013",173,"new","bigstoney","scio","M2",33.61,16.9,68
"MAGN_4_10","6/22/2013",173,"new","sink","scio","M2",35.28,16.06,88
"MAGN_4_12","6/22/2013",173,"new","sink","scio","M2",29.76,10.09,59
"MAGN_4_2","6/22/2013",173,"new","toms","scio","F",34.17,15.02,26
"MAGN_4_3","6/22/2013",173,"new","sink","scio","F",41.73,28.36,88
